,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Allen Iverson,25,PHI,93.0,1121.0,1240,0.904,71,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19,0.7404761904761905,0.09047619047619047,0.10952380952380951,0.05952380952380952,0.007142857142857143,1.0071428571428571,2001
1,2,Tim Duncan,24,SAS,18.0,706.0,1240,0.569,82,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,13.2,0.2,0.5736434108527131,0.31524547803617564,0.07751937984496124,0.023255813953488372,0.05943152454780361,1.049095607235142,2001
2,3,Shaquille O'Neal,28,LAL,7.0,578.0,1240,0.466,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0.0,0.513,14.9,0.245,0.7265822784810126,0.32151898734177214,0.09367088607594937,0.015189873417721518,0.07088607594936708,1.2278481012658229,2001
3,4,Chris Webber,27,SAC,5.0,521.0,1240,0.42,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11.0,0.186,0.6691358024691358,0.2740740740740741,0.10370370370370371,0.03209876543209877,0.04197530864197531,1.1209876543209878,2001
4,5,Kevin Garnett,24,MIN,1.0,151.0,1240,0.122,81,39.5,22.0,11.4,5.0,1.4,1.8,0.477,0.288,0.764,11.8,0.176,0.5569620253164557,0.28860759493670884,0.12658227848101267,0.03544303797468354,0.04556962025316456,1.0531645569620254,2001
5,6,Tracy McGrady,21,ORL,0.0,64.0,1240,0.052,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189,0.6683291770573566,0.18703241895261843,0.11471321695760597,0.03740648379052369,0.03740648379052369,1.0448877805486283,2001
6,7,Karl Malone,37,UTA,0.0,21.0,1240,0.017,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217,0.649859943977591,0.23249299719887956,0.12605042016806722,0.03081232492997199,0.022408963585434174,1.0616246498599438,2001
7,8,Jason Kidd,27,PHO,0.0,18.0,1240,0.015,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15,0.42462311557788945,0.16080402010050254,0.2462311557788945,0.05527638190954775,0.007537688442211056,0.8944723618090453,2001
8,9,Kobe Bryant,22,LAL,0.0,11.0,1240,0.009,68,40.9,28.5,5.9,5.0,1.7,0.6,0.464,0.305,0.853,11.3,0.196,0.6968215158924206,0.14425427872860638,0.12224938875305624,0.04156479217603912,0.014669926650366748,1.019559902200489,2001
9,10,David Robinson,35,SAS,0.0,8.0,1240,0.006,80,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,12.1,0.246,0.48648648648648646,0.2905405405405405,0.05067567567567567,0.03378378378378378,0.08445945945945946,0.9459459459459458,2001
10,11,Ray Allen,25,MIL,0.0,7.0,1240,0.006,82,38.2,22.0,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7,0.211,0.5759162303664921,0.13612565445026178,0.12041884816753926,0.03926701570680628,0.005235602094240838,0.8769633507853402,2001
11,11,Vince Carter,24,TOR,0.0,7.0,1240,0.006,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208,0.6952141057934509,0.13853904282115867,0.0982367758186398,0.03778337531486146,0.027707808564231738,0.9974811083123425,2001
12,13,Paul Pierce,23,BOS,0.0,5.0,1240,0.004,82,38.0,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,10.4,0.16,0.6657894736842106,0.16842105263157894,0.08157894736842106,0.04473684210526316,0.021052631578947368,0.9815789473684211,2001
13,14,Jerry Stackhouse,26,DET,0.0,3.0,1240,0.002,80,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,9.2,0.137,0.7412935323383084,0.09701492537313432,0.12686567164179102,0.029850746268656712,0.01741293532338308,1.0124378109452734,2001
14,15,Michael Finley,27,DAL,0.0,1.0,1240,0.001,82,42.0,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119,0.5119047619047619,0.12380952380952381,0.10476190476190476,0.03333333333333333,0.009523809523809525,0.7833333333333332,2001
15,15,Anthony Mason,34,MIA,0.0,1.0,1240,0.001,80,40.7,16.1,9.6,3.1,1.0,0.3,0.482,0.0,0.781,11.6,0.171,0.3955773955773956,0.23587223587223585,0.07616707616707616,0.02457002457002457,0.00737100737100737,0.7395577395577395,2001
16,15,John Stockton,38,UTA,0.0,1.0,1240,0.001,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216,0.3938356164383562,0.0958904109589041,0.297945205479452,0.05479452054794521,0.010273972602739725,0.8527397260273973,2001
