,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
58,8,Ben Wallace,28,DET,1.0,33.0,1190,0.028,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,0.17512690355329952,0.39086294416243655,0.04060913705583757,0.03553299492385787,0.08121827411167513,0.7233502538071067,2003
59,9,Jason Kidd,29,NJN,0.0,31.0,1190,0.026,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,0.5,0.16844919786096257,0.23796791443850268,0.05882352941176471,0.008021390374331552,0.9732620320855616,2003
60,10,Chris Webber,29,SAC,0.0,19.0,1190,0.016,67,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127,0.5882352941176471,0.26854219948849106,0.1381074168797954,0.04092071611253197,0.03324808184143223,1.0690537084398977,2003
61,11,Jamal Mashburn,30,NOH,0.0,1.0,1190,0.001,82,40.5,21.6,6.1,5.6,1.0,0.2,0.422,0.389,0.848,9.0,0.13,0.5333333333333333,0.15061728395061727,0.1382716049382716,0.024691358024691357,0.0049382716049382715,0.8518518518518519,2003
62,11,Steve Nash,28,DAL,0.0,1.0,1190,0.001,82,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6,0.206,0.5347432024169184,0.08761329305135951,0.22054380664652568,0.030211480362537763,0.0030211480362537764,0.8761329305135951,2003
63,11,Paul Pierce,25,BOS,0.0,1.0,1190,0.001,79,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157,0.6607142857142856,0.18622448979591835,0.11224489795918367,0.04591836734693877,0.02040816326530612,1.0255102040816324,2003
64,1,Kevin Garnett,27,MIN,120.0,1219.0,1230,0.991,82,39.4,24.2,13.9,5.0,1.5,2.2,0.499,0.256,0.791,18.3,0.272,0.6142131979695431,0.35279187817258884,0.12690355329949238,0.03807106598984772,0.05583756345177666,1.1878172588832487,2004
65,2,Tim Duncan,27,SAS,0.0,716.0,1230,0.582,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249,0.6092896174863388,0.33879781420765026,0.08469945355191257,0.02459016393442623,0.07377049180327869,1.1311475409836065,2004
66,3,Jermaine O'Neal,25,IND,2.0,523.0,1230,0.425,78,35.7,20.1,10.0,2.1,0.8,2.6,0.434,0.111,0.757,9.0,0.155,0.5630252100840336,0.2801120448179272,0.058823529411764705,0.022408963585434174,0.07282913165266106,0.9971988795518207,2004
67,4,Peja Stojaković,26,SAC,1.0,281.0,1230,0.228,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198,0.6004962779156328,0.15632754342431762,0.05210918114143921,0.03225806451612904,0.004962779156327544,0.8461538461538463,2004
68,5,Kobe Bryant,25,LAL,0.0,212.0,1230,0.172,65,37.6,24.0,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21,0.6382978723404255,0.14627659574468085,0.1356382978723404,0.045212765957446804,0.010638297872340425,0.9760638297872339,2004
69,6,Shaquille O'Neal,31,LAL,0.0,178.0,1230,0.145,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,0.0,0.49,9.9,0.192,0.5842391304347827,0.3125,0.07880434782608696,0.013586956521739132,0.06793478260869566,1.0570652173913044,2004
70,7,Ben Wallace,29,DET,0.0,24.0,1230,0.02,81,37.7,9.5,12.4,1.7,1.8,3.0,0.421,0.125,0.49,10.2,0.16,0.2519893899204244,0.3289124668435013,0.04509283819628647,0.04774535809018567,0.07957559681697612,0.753315649867374,2004
71,8,Jason Kidd,30,NJN,0.0,17.0,1230,0.014,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141,0.4234972677595628,0.17486338797814208,0.2513661202185792,0.04918032786885246,0.00546448087431694,0.9043715846994536,2004
72,9,LeBron James,19,CLE,0.0,11.0,1230,0.009,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078,0.5291139240506328,0.13924050632911392,0.14936708860759496,0.04050632911392405,0.01772151898734177,0.8759493670886075,2004
73,10,Sam Cassell,34,MIN,0.0,4.0,1230,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205,0.5657142857142857,0.09428571428571428,0.20857142857142857,0.037142857142857144,0.005714285714285714,0.9114285714285714,2004
74,10,Baron Davis,24,NOH,0.0,4.0,1230,0.003,67,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133,0.571072319201995,0.10723192019950124,0.18703241895261843,0.059850374064837904,0.00997506234413965,0.9351620947630923,2004
75,10,Dirk Nowitzki,25,DAL,0.0,4.0,1230,0.003,77,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19,0.575197889182058,0.22955145118733508,0.0712401055408971,0.0316622691292876,0.036939313984168866,0.9445910290237467,2004
76,13,Andrei Kirilenko,22,UTA,0.0,2.0,1230,0.002,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192,0.444743935309973,0.21832884097035038,0.08355795148247978,0.05121293800539083,0.07547169811320754,0.8733153638814016,2004
77,14,Carmelo Anthony,19,DEN,0.0,1.0,1230,0.001,82,36.5,21.0,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098,0.5753424657534246,0.16712328767123286,0.07671232876712328,0.03287671232876712,0.0136986301369863,0.8657534246575342,2004
